Response ID..,"No Trucks, Plus Incentives: drivetrain design 1","No Trucks, Plus Incentives: drivetrain design 2","No Trucks, Plus Incentives: drivetrain design 3","No Trucks, Plus Incentives: drivetrain design 4","No trucks, plus incentives: drivetrain design",Respondent Education,rRespondent Education,Respondent Gender,Respondent Sex,Gender 2,Income 2,rIncome,Veh 1 Total Price,"Veh 1 Total Price, don't know","Fuel economy, gasoline / diesel / ethanol","Fuel economy, gasoline / diesel / ethanol truncated","Fuel economy, gasoline / diesel / ethanol, no idea",Distance,Distance Week/Month,Respondent's vehicle's monthly miles,Respondent's vehicle's monthly miles truncated,Fuel spending,Fuel spending Week/month,Respondent's car fuel spending per month,Respondent's car fuel spending per month (trunc),Daily flexibility,Commute,Home Park own car,Home Park other car,Garage or Carport,Home park: 110,Home Park: 220,Home park: EVSE,Home park: none,Home park: don't know,Highest Home PEV Charging Access,Electricy install authority,Home natural gas,Should government offer incentives,Replacement: Electricity,Replacement: Hydrogen,Seen Public EVSEs,Seen Public EVSEs yes/no,Personal interest in ZEV tech,Consider an EV,rConsiderEV,Consider an FCV,rConsiderFCV,Incentives: Federal,Base body size,Base body size 2,Familiarity: Gasoline Vehicles,Familiarity: EVs,Familiarity: HEVs,Familiarity: PHEVs,Familiarity: FCVs,Familiarity Gasoline Vehicles (trunc),Familiarity EVs (trunc),Familiarity HEVs (trunc),Familiarity PHEVs (trunc),Familiarity FCVs (trunc),Driving exp: EV,Driving exp: HEV,Driving exp: PHEV,Driving exp: FCV,Driving exp: EV (trunc),Driving exp: HEV (trunc),Driving exp: PHEV (trunc),Driving exp: FCV (trunc),EV: home charge,EV: public charging,EV: charge time,EV: range,EV: purchase price,EV: safety,EV: reliability,EV: home charge (trunc),EV: public charging (trunc),EV: charge time (trunc),EV: range (trunc),EV: purchase price (trunc),EV: safety (trunc),EV: reliability (trunc),FCV: public refueling,FCV: fueling time,FCV: range,FCV: purchase price,FCV: safety,FCV: reliability,FCV: public refueling (trunc),FCV: fueling time (trunc),FCV: range (trunc),FCV: purchase price (trunc),FCV: safety (trunc),FCV: reliabilty (trunc),Environmental risk,Environmental Risk (trunc),Health risk,Health Risk (trunc),Urgent national need,Urgent national need (trunc),Market provides incentives,Market incentives (trunc),Air pollution: lifesyle,Air pollution: lifestyle (trunc),Air pollution: personal worry,Air pollution: personal worry (trunc),Air pollution: regional threat,Air pollution: regional threat (trunc),Global warming: certainty,Global warming: certainty (trunc),Climate change: lifestyle,Climate change: lifestyle (trunc),Familiarity Factor1,Familiarity Factor2,Driving Experience Factor1,Driving Experience Factor2,Prior EV Factor1,Prior EV Factor2,Prior EV Factor3,Prior EV Factor4,Prior FCV Factor1,Prior FCV Factor2,Prior FCV Factor3,Enviro Factor1b,Enviro Factor2b,Enviro Factor3b,Pro-ZEV: tech,Pro-ZEV: fun,Pro-ZEV: safer,Pro-ZEV: fuel cost,Pro-ZEV: comfortable,Pro-ZEV: looks,Pro-ZEV: impression,Pro-ZEV: lifestyle,Pro-ZEV: purchase cost,Pro-ZEV: maintenance cost,Pro-ZEV: climate change,Pro-ZEV: oil imports,Pro-ZEV: money to oil producers,Pro-ZEV: air quality,Pro-ZEV: home charge convenience,Pro-ZEV: incentives,w Pro-ZEV: tech,w Pro-ZEV: fun,w Pro-ZEV: safer,w Pro-ZEV: fuel cost,w Pro-ZEV: comfortable,w Pro-ZEV: looks,w Pro-ZEV: impression,w Pro-ZEV: lifestyle,w Pro-ZEV: purchase cost,w Pro-ZEV: maintenance cost,w Pro-ZEV: climate change,w Pro-ZEV: oil imports,w Pro-ZEV: money to oil producers,w Pro-ZEV: air quality,w Pro-ZEV: home charge convenience,w Pro-ZEV: incentives,Non-ZEV: unfamiliar technology,Non-ZEV: electricity supply,Non-ZEV: vehicle safety,Non-ZEV: no home charge or fuel,Non-ZEV: limited fuel network,Non-ZEV: looks,Non-ZEV: impression,Non-ZEV: purchase cost,Non-ZEV: maintenance cost,Non-ZEV: fuel cost,Non-ZEV: lifestyle,Non-ZEV: charge/fuel time,Non-ZEV: range,Non-ZEV: fuel safety,Non-ZEV: enviormental concerns,Non-ZEV: battery concerns,Non-ZEVs: reliability,Non-ZEVs: higher incentives,w Non-ZEV: total,w Non-ZEV: unfamiliar technology,w Non-ZEV: electricity supply,w Non-ZEV: vehicle safety,w Non-ZEV: no home charge or fuel,w Non-ZEV: limited fuel network,w Non-ZEV: looks,w Non-ZEV: impression,w Non-ZEV: purchase cost,w Non-ZEV: maintenance cost,w Non-ZEV: fuel cost,w Non-ZEV: lifestyle,w Non-ZEV: charge/fuel time,w Non-ZEV: range,w Non-ZEV: fuel safety,w Non-ZEV: environmental concerns,w Non-ZEV: battery concerns,w Non-ZEV: reliability,w Non-ZEV: higher incentives
40,HEV,,,,HEV,"Masters, Doctorate, or Professional Degree","Masters, Doctorate, or Professional Degree",Female,Female,Female,"$100,000 to 149,999","$100,000 to 149,999",71000,0,48,48,0,200,Week,800,800,85,Month,85,85,Every day we decide who will drive the car or who will drive which car,No,Parking Lot - Unassigned Space,Garage (attached to your home or freestanding),Yes,No,No,No,Yes,No,No,My household would need permission from some other person or group.,"Yes, we do have natural gas",I'm not sure,Yes,Yes,Yes. I've seen them at a few places.,Yes,Very interested,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,Yes,Compact,Compact,2.89,4.125,2.92,4.125,4.125,2.89,,2.92,,,-2.87,2.89,-2.87,-2.92,-2.87,2.89,-2.87,-2.92,0.18,-2.85,0,2.79,4.125,4.125,4.125,0.18,-2.85,0,2.79,,,,-2.82,4.125,4.125,4.125,4.125,4.125,-2.82,,,,,,4.125,,4.125,,0,0,0,0,2.3,2.3,2.31,2.31,2.49,2.49,4.125,,2.64,2.64,0.478749996,0.481909026,-1.002143045,1.342143582,-0.392463646,0.899211004,-0.784607162,0.150788868,-0.120416666,-0.275352065,-0.552964766,0.649213668,-0.009263677,0.656045446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,21.96387595,0,5.490968988,0,0,5.490968988,0,0,0,0,0,0,5.490968988,5.490968988,0,0,0,0,
36,HEV,,,,HEV,College Graduate,College Graduate,Male,Male,Male,"$75,000 to 99,999","$75,000 to 99,999",,1,25,25,0,35,,140,140,20,Month,20,20,"I'm the only driver, so this question doesn't really apply to me",No,Garage (attached to your home or freestanding),,Yes,Yes,Yes,No,No,No,220V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",No,No,No. I haven't seen any.,No,Interested,I (we) have not and would not consider buying a vehicle that runs on electricity,I (we) have not and would not consider buying a vehicle that runs on electricity,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one",Yes,Compact,Compact,2.91,2.92,2.92,2.9,4.125,2.91,2.92,2.92,2.9,,-2.84,-2.94,-3,-2.96,-2.84,-2.94,-3,-2.96,2.94,-1.45,2.88,2.92,2.84,4.125,1.22,2.94,-1.45,2.88,2.92,2.84,,1.22,-2.92,-2.92,-2.58,2.92,-1.71,-1.94,-2.92,-2.92,-2.58,2.92,-1.71,-1.94,2.87,2.87,2.81,2.81,2.81,2.81,-2.95,-2.95,2.94,2.94,2.87,2.87,1.41,1.41,2.95,2.95,2.94,2.94,0.800402854,0.419811055,-0.343959897,-0.635819576,0.088266969,1.053257693,0.012685412,0.727256588,-1.217497672,-1.293492364,-0.442468001,0.832812122,2.487810223,0.956127657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,
32,PHEV,,,,PHEV,"Masters, Doctorate, or Professional Degree","Masters, Doctorate, or Professional Degree",Male,Male,Male,"$100,000 to 149,999","$100,000 to 149,999",51000,0,21,21,0,200,Month,200,200,40,Month,40,40,"I'm the only driver, so this question doesn't really apply to me",Yes,Garage (attached to your home or freestanding),Garage (attached to your home or freestanding),Yes,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",Yes,Yes,Yes. I've seen them at a few places.,Yes,Very interested,"Shopped for an electric vehicle, including a visit to at least one dealership to test drive",Gathered info to shopped to own,"Started to gather some information, but haven nott really gotten serious yet",Gathered info to shopped to own,Yes,Compact,Compact,2.68,2.79,2.78,2.7,2.79,2.68,2.79,2.78,2.7,2.79,-2.5,-2.47,-2.51,-3,-2.5,-2.47,-2.51,-3,2.8,2.65,0,0.76,-1.81,-1.11,-0.77,2.8,2.65,0,0.76,-1.81,-1.11,-0.77,-2.85,-1.63,-1.02,2.76,4.125,-1.67,-2.85,-1.63,-1.02,2.76,,-1.67,0,0,-1.31,-1.31,1.75,1.75,-2.48,-2.48,2.13,2.13,1.69,1.69,1.83,1.83,2.69,2.69,2.24,2.24,0.942150465,-0.033991246,-0.294197283,-0.396771496,-0.53160869,-0.013452095,1.316149164,-1.652390929,-1.242546033,-0.46093098,-0.520684094,0.359806805,0.088250416,0.486448109,5,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,5,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,EV,,,,EV,High School Graduate or GED,High school or less,Male,Male,Male,"$50,000 to 74,999","$50,000 to 74,999",50000,0,25,25,0,2500,Month,2500,2500,50,Week,200,200,"I have my car; they have their car. In general, we don't switch or swap",No,Garage (attached to your home or freestanding),Garage (attached to your home or freestanding),Yes,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, but only electricity",No,No,Yes. I've seen them at several places.,Yes,Very interested,I (we) already have a vehicle powered by electricity,Gathered info to shopped to own,I (we) already have a vehicle powered by hydrogen,Gathered info to shopped to own,Yes,Large,Large,2.88,2.9,2.91,2.9,2.9,2.88,2.9,2.91,2.9,2.9,0.13,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,2.92,2.88,2.9,2.93,2.91,2.92,2.92,2.88,2.9,2.93,2.91,2.89,2.89,2.85,2.85,2.91,2.91,2.93,2.93,2.87,2.87,2.9,2.9,2.94,2.94,2.88,2.88,2.87,2.87,1.010157315,0.052218927,1.287294435,0.296510874,0.188820597,-0.582856715,0.015560843,-0.803995558,1.126432748,1.317840492,1.056613205,1.144055779,2.51774125,0.758156821,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
50,EV,,,,EV,Some Graduate School,Some Graduate School,Female,Female,Female,"$25,000 to 34,999","$25,000 to 34,999",26500,0,38,38,0,600,Month,600,600,150,Month,150,150,"I'm the only driver, so this question doesn't really apply to me",Yes,Garage (attached to your home or freestanding),,Yes,No,No,No,Yes,No,No,My household would need permission from some other person or group.,"No, we don't have natural gas",I'm not sure,No,No,No. I haven't seen any.,No,Not interested,I (we) have not and would not consider buying a vehicle that runs on electricity,I (we) have not and would not consider buying a vehicle that runs on electricity,I (we) have not and would not consider buying a vehicle that runs on hydrogen,I (we) have not and would not consider buying a vehicle that runs on hydrogen,I'm Not Sure,Compact,Compact,2.72,4.125,4.125,4.125,4.125,2.72,,,,,4.125,4.125,4.125,4.125,,,,,4.125,4.125,4.125,4.125,4.125,4.125,4.125,,,,,,,,4.125,4.125,4.125,4.125,4.125,4.125,,,,,,,4.125,,4.125,,4.125,,4.125,,4.125,,2.96,2.96,4.125,,4.125,,4.125,,0.017481734,0.187665173,0,0,0,0,0,0,0,0,0,0.895998732,-0.073720121,0.274120899,0,5,5,5,5,0,0,0,0,0,0,0,0,5,0,0,0,5.445805579,5.445805579,5.445805579,5.445805579,0,0,0,0,0,0,0,0,5.445805579,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,EV,,,,EV,Some College,Some College,Male,Male,Male,"$150,000 to $199,999","$150,000 to 199,999",,0,101.2,,0,8000,Month,8000,8000,2000,Month,2000,2000,"I'm the only driver, so this question doesn't really apply to me",Yes,Garage (attached to your home or freestanding),,Yes,Yes,No,Yes,No,No,EVSE,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",No,No,Yes. I've seen them at several places.,Yes,Very interested,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one","Started to gather some information, but haven nott really gotten serious yet",Gathered info to shopped to own,Yes,Compact,Compact,2.92,0,4.125,2.9,0,2.92,0,,2.9,0,2.86,2.56,0,2.47,2.86,2.56,0,2.47,4.125,2,4.125,5.7,1.05,2.79,1.96,,2,,,1.05,2.79,1.96,2.99,2.42,4.125,1.84,0.37,2.51,2.99,2.42,,1.84,0.37,2.51,2.91,2.91,0,0,2.22,2.22,1.2,1.2,2.44,2.44,2.06,2.06,1.78,1.78,2.72,2.72,2.8,2.8,0.29004437,-0.006384805,2.235903213,0.865860649,1.584743388,-0.003791827,0.86960023,-0.471649614,0.196969442,1.231362813,1.095430155,0.473232874,0.86276604,0.91592962,0,0,0,0,1,1,2,1,2,1,1,5,1,4,5,3,0,0,0,0,1,1,2,1,2,1,1,5,1,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
60,,,,Gas,Gas,High School Graduate or GED,High school or less,Male,Male,Male,"$15,000 to 24,999","$10,000 to 24,999",15000,0,17,17,0,250,Month,250,250,20,Week,80,80,"I'm the only driver, so this question doesn't really apply to me",No,Driveway (Not Covered),,No,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","No, neither one",No,No,Yes. I've seen them at a few places.,Yes,A little interested,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I'm Not Sure,Large,Large,2.91,2.97,2.89,2.85,0,2.91,2.97,2.89,2.85,0,-3,0,-2.99,-2.89,-3,0,-2.99,-2.89,2.84,-2.85,2.88,5.7,2.87,0,2.86,2.84,-2.85,2.88,,2.87,0,2.86,-2.95,-2.94,-2.96,0,0,0,-2.95,-2.94,-2.96,0,0,0,-2.93,-2.93,-2.96,-2.96,-2.9,-2.9,2.91,2.91,0,0,0,0,2.83,2.83,2.81,2.81,0,0,0.722965822,0.535435904,-0.682046779,0.337319174,0.172402507,0.978120534,-0.55569708,0.942663492,-0.092774614,-1.832735452,-0.08358431,-0.026346814,-0.95258826,-1.13717131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5,0,0,5,5,5,0,0,5,5,0,30,0,0,0,0,0,0,0,5,0,0,5,5,5,0,0,5,5,
68,Gas,,,,Gas,College Graduate,College Graduate,Female,Female,Female,"$100,000 to 149,999","$100,000 to 149,999",48500,0,23,23,0,400,Month,400,400,50,Month,50,50,"Each driver has their usual car, but at least once a week someone in the household will drive a different car",Yes,Garage (attached to your home or freestanding),Garage (attached to your home or freestanding),Yes,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",Yes,No,Yes. I've seen them at a few places.,Yes,Very interested,I (we) already have a vehicle powered by electricity,Gathered info to shopped to own,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,Yes,Midsize,Midsize,2.91,2.9,2.92,2.93,0,2.91,2.9,2.92,2.93,0,2.87,2.88,2.77,-3,2.87,2.88,2.77,-3,2.9,-3,0,0,1.53,0,1.46,2.9,-3,0,0,1.53,0,1.46,-3,1.44,0,2.92,2.91,2.91,-3,1.44,0,2.92,2.91,2.91,-3,-3,-3,-3,-3,-3,2.87,2.87,0,0,-1.43,-1.43,0,0,0,0,,,0.737383199,0.530638226,0.561759744,2.301016119,0.229629339,-0.63589616,-0.702322305,0.321078178,1.4984389,-0.177310325,-0.642433217,-1.294880594,-1.015659522,-0.56434695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,5,0,0,21.96387595,0,0,0,0,5.490968988,0,0,0,0,0,0,5.490968988,5.490968988,0,0,5.490968988,0,
74,,,,PHEV,PHEV,"Masters, Doctorate, or Professional Degree","Masters, Doctorate, or Professional Degree",Female,Female,Female,"$200,000 to $249,999","$200,000 to 249,999",42000,0,20,20,0,1000,Month,1000,1000,40,Week,160,160,"I have my car; they have their car. In general, we don't switch or swap",No,Driveway (Not Covered),Driveway (Not Covered),No,No,No,No,Yes,No,No,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",Yes,Yes,Yes. I've seen them at a few places.,Yes,Interested,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I'm Not Sure,Large,Large,2.88,2.81,4.125,4.125,-2.99,2.88,2.81,,,-2.99,-3,-3,-3,-3,-3,-3,-3,-3,1.26,-0.96,0.25,-0.63,2.84,1.51,5.7,1.26,-0.96,0.25,-0.63,2.84,1.51,,4.125,4.125,4.125,5.7,4.125,4.125,,,,,,,-2.87,-2.87,-3,-3,0,0,4.125,,2.96,2.96,2.9,2.9,2.1,2.1,1.81,1.81,1.46,1.46,0.064480733,0.969193914,-0.369833827,-0.658581338,1.043784432,-1.137632602,-0.171890422,0.639347774,0,0,0,0.987035806,-0.889074256,-0.472410644,5,0,0,0,0,0,0,3,0,0,4,3,0,5,0,0,5.445805579,0,0,0,0,0,0,3.267483348,0,0,4.356644463,3.267483348,0,5.445805579,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
75,PHEV,,,,PHEV,"Masters, Doctorate, or Professional Degree","Masters, Doctorate, or Professional Degree",Male,Male,Male,"$75,000 to 99,999","$75,000 to 99,999",21000,0,,,,,,,,,,,,"Each driver has their usual car, but at least once a week someone in the household will drive a different car",Yes,Garage (attached to your home or freestanding),,Yes,No,No,No,Yes,No,No,My household could make such an installation on its own authority.,"No, we don't have natural gas","Yes, but only electricity",Yes,No,Yes. I've seen them at a few places.,Yes,Interested,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one",Yes,Compact,Compact,2.77,2.76,2.72,2.84,2.91,2.77,2.76,2.72,2.84,2.91,0,0,-0.14,-2.91,0,0,-0.14,-2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,2.65,2.61,2.61,2.93,2.93,2.86,2.86,2.89,2.89,2.93,2.93,2.95,2.95,2.89,2.89,2.93,2.93,0.975865644,-0.05013578,0.126425447,0.825930781,0.188820597,-0.582856715,0.015560843,-0.803995558,-0.510127042,-0.03172103,0.722187191,1.144994192,2.382638111,0.796068969,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
